HolderAddress,Balance,Airdrop
0x20a0b09cace3df687b06506f62394b949a0c3c89,2136.42,21.3642
0xbe241d9b35ead4799835e8e7b7a4596815665048,1411.11111,14.1111111
0x0723e897efaa9200bbbd6974bfa333ee7e78d9b4,799.9999,7.999999
0xa070216b0a87aad87db24c628a5f8ab9484e25fb,767.6767,7.676767
0xef6c7c6efa2de37361cf621ded9b0981fd1c74cb,719.0798486,7.190798486
0x67f67f2d7c092cbbc8df35399253894ccc32abfa,696.011413,6.96011413
0x50bd0b96a142c5ab0c756ecd67437af0c9b1fd39,513.6972535,5.136972535
0xf2b7b0d09a232a847eb2ccd616f1e4f4648806c1,504.5460509,5.045460509
0x143a60936064d9718f57156000b89fe7715cacf7,500.94,5.0094
0xb7b9432390ae4d7a48358f07df142e1d745d9663,490.0071253,4.900071253
0xa29572973553761241b2e33bdb2f0d33eb92c6ab,444.4444,4.444444
0xfa3a830eadf5aafb67161035719fe63cd2209820,410.473193,4.10473193
0x51ad84a368ff1b967909249b4f782b1fed88c3cc,407.6257035,4.076257035
0x9ada0e830bac3a5071e90496d39430849fe67ecb,405.5640803,4.055640803
0x8148427fef8b1e51dac854e28af5562bdfa180df,400.1315366,4.001315366
0xa50bbafbe4cef3e82d247acdfabec3e79c9046e2,400.0003314,4.000003314
0x33a9996626060b54b883cbffc986d5c89b650013,400,4
0x9da4fccb29345d73df4a85c131753196397ad23d,395.1424933,3.951424933
0x0abc860a8ac8ffc317297171acfb207685c5095c,391.1731787,3.911731787
0x946892659287f66e37742572b188658d8ca80362,382.0305856,3.820305856
0x638fd47ccf2e838a09b556f4fe458233cb3624d6,381.1977894,3.811977894
0x14992cf049089a6a504dbb593c85e47003dc6e79,370.2864664,3.702864664
0x5004021192a4b70fdf73f8bce6512cace5435c55,367.9907726,3.679907726
0xbda7240afdd3554b391d5dfcdff4fb06a3f7d88f,361.1002436,3.611002436
0x35cbfe588648186f5ad94b25c7a9aedcd068e1f8,357.848504,3.57848504
0xbe8994c76329b3430665af8715e155bd15555d8c,350.0794817,3.500794817
0x004fad92758f82b4a896bdf73498407d21875738,337.9283232,3.379283232
0xd54a2ff2c89a3a472617bbb2bd5895f50f43a734,333.3333333,3.333333333
0x85b8c6111d5572e75d4ed2a53d9b382caac9cd2f,331.954369,3.31954369
0xea5221e5f9b5d297421ac9bc6d4345b60eaa8209,327.4303414,3.274303414
0xf8f1b18c76fd86356d29ffb9a0140987544e9977,322.7586504,3.227586504
0x35f03f92ec877fffae1b6dfb3f1b252858bf4b14,317.5510743,3.175510743
0x49ade5005467e87e39afb5195ab931630364f3e5,312.4773182,3.124773182
0x02131668c31aafec8cfe1a35c101edbefbc8bcb4,300.3023589,3.003023589
0x5581c59ad097c78800d54b4dd96164f736582cf5,300,3
0x229436eb06071db1aef253737d0fc58c7cb3ded9,256.1609529,2.561609529
0xdc5396b3f87b13f7a1a641d60917044f4c83a75a,254.9324773,2.549324773
0x13139df98cce1ac4ceec0be7f897133205652ba4,229.6432236,2.296432236
0xb1d89bb7864af81bbd0db7d23927ef4fba2dc406,229.3322775,2.293322775
0xb9a9b8c1fba874ed74ca93afc472e6b9b4342179,227.1628937,2.271628937
0xb7e455aafcf13de62bb273818c7507e58843dd2a,220.5427904,2.205427904
0x6b83d4e7063d74c210c2b80257f6491cbbad99ea,216.9970131,2.169970131
0xea5ece75db240f52782934b8a2190d95f4a17754,212.226896,2.12226896
0xcd63dfc56b8077c97c144ecf8ba8f565e3bac42f,211.7837049,2.117837049
0xe4d565cfb25e22feae35a9089b5239c4d6cd3efa,201.9143573,2.019143573
0xb315c77fbb4c3d2d62073497103e6d34cbd6b908,201.237894,2.01237894
0xa947ab56f93c983260b36b41ce207b4a14985adf,200.6477509,2.006477509
0xc20f1867fc652fca10fe48599d417aacfe069924,200.41857,2.0041857
0x164b0faeec8dbe40ece746530dcc98ea18fb6d1a,200.0988685,2.000988685
0xc57a74712c07b2da2015b9c9ddaddddefdb72123,200.00052,2.0000052
0x43bea4ca4413f2190f0e2e37b1490b4045f519a6,198.7154014,1.987154014
0x9c23135614d22e451aecc07b052ef474d4c58a32,197.0822464,1.970822464
0x600de7c9644cbf531da391e1df59bb8065ff8ff3,194.2128589,1.942128589
0x8d21ce6106301fa29ef896e9b5e3b386bf3b8c3d,179.263222,1.79263222
0x8e6e2410be0ba47369d40f88d7a1b654f6bbd323,174.0672177,1.740672177
0x3982fa9593379d5714d5a3faecec1408cc907eb2,169.6488102,1.696488102
0x47f8a42cd4167882c1507e08a6f85807e87cdbfd,165.786285,1.65786285
0x597c7904b1ecfd4660b030488c5c6677316269b0,160.4656717,1.604656717
0x67047aa0f46422415dcff646e0c19005f2e9c529,156.8097183,1.568097183
0xc653907f68678d1b7337af3798cdf7fe1c9e858b,152.74778,1.5274778
0xc1452b076ceead79ee52c6ffa5327f8926e2ca20,150.8492161,1.508492161
0x94f4a17accfab4522be08b4d14043c3ac572f1f9,149.9998159,1.499998159
0x59c2b29e78a3840fc105c4e8e0c914aca0e3fd2c,144.268034,1.44268034
0x0ccc9c948530dd6376ccdd48d23ada75d835ee51,140.9737951,1.409737951
0x9f224ce3719b465a360d30586f744e455430b047,139.7581317,1.397581317
0x4e59f9e4ac7c416f841f9f2144bb49d5d98b8ee3,135.5250134,1.355250134
0xf63e8fbb2740f9ad6b7850ef0e9695fcc501b17d,127.360332,1.27360332
0x787c3f67626ee67b093664380a2ac6e58185a9ab,120.8301958,1.208301958
0xe77040bdc5a6c229cfd73753eb3c269fc2b2d451,120.8083717,1.208083717
0x502c0a5a2066e78b67e177d171e5cee9cfcd760b,120.0034084,1.200034084
0x9cda550bd28d3cad9e80335572b67ad901f97dab,119.7477301,1.197477301
0x1e84e19662254fbd6645a287b06abbf152b98bd7,114.3471994,1.143471994
0x8afba46b4ebc010f1d4093e8f60bbead2670df74,112.3720961,1.123720961
0xa4315a3260b87a1ebeecb2da6f5ff168f4065f23,112.0531499,1.120531499
0x9575cb12aaa2224001540cd2527f98a693c467e7,111.5128531,1.115128531
0xb8e6fa522efa95f1267e84d06131dfd7a8868a29,108.9,1.089
0x00dd29f6efc66e5fa9333e4bada5aa76a91b3c17,107.160378,1.07160378
0xac4a13c95f9909cce0124b59445abc80c83b5a8d,106.69,1.0669
0x599622f9b756315cc09f1ad0d01a67a8d4ab1f19,103.5298547,1.035298547
0x817fc3f106852369e35776cccb5c008c8d391fd6,101.803383,1.01803383
0xbe69da35c620725d90cc8278d02b6792713a65e1,101.67245,1.0167245
0xe018a99cd224d33e840d1cb9bf7667bb5d7ef1dc,100.9364439,1.009364439
0xc6d276c67b9a51bcfce616bba45422246e21a6f4,100.7508641,1.007508641
0x48ed5e5db5ad22b0f01e530611ce7391885eb31b,100.3773988,1.003773988
0x4d401365425505b39f48ffb7cdffdc1512128fab,100.2364183,1.002364183
0x6742004b42f224fa10d5eb39d305cd96c3082019,98.78366528,0.987836653
0x14129b0edc98c4f51cc9877c332e136d033db95f,95.75384759,0.957538476
0xa8e74e7e26aa145e7a5deb5291dc47f9c96479a0,94.661622,0.94661622
0x0f00089f1fc88adc03df7d054c92a422b58bd613,92.7549281,0.927549281
0x45f2d8507a6f57d3d3531fea2bdf795061d4b864,91.35761443,0.913576144
0x8994d29b837c664bf1e43a7dd7341adb64b987fb,90.2705937,0.902705937
0x57e8cadb6bd7af7b456c0c7f6b90a8c7c13ddad1,84.00243126,0.840024313
0x87ef49ede12cab7379f40bf7b39b757d55a8fa2c,83.00007569,0.830000757
0x0364c40ab765402f94af514e4d97b84830ace3f1,80.41999001,0.8041999
0x348ef0fe33526faa3338b21a3875cd4ebe8e7031,80.16060734,0.801606073
0x8c5eda46d947e8ae4215c8e9b81dd5ff7cfef824,79.695,0.79695
0x1e9e2129df1efd6651edaf9ce979bb13e18e5869,79.46408489,0.794640849
0x928cb81b86fd4138bef23ce5ed6d882d9d66f8b2,79.00005118,0.790000512
0xb4832c7d7654fb27642e6630b043caa795aff9db,75.57948677,0.755794868
0x3202e721a97f921fc0a32920d0723ed97e9f50e2,74.60221069,0.746022107
0x77378abe9181caedf8bc73a8b0f61356aba596f7,72.41476606,0.724147661
0x47048f1cac5af6907d583eefb5b263bc5b195ff8,71.05609938,0.710560994
0x61821996f45a03ff604c726e531313fee322a7db,70.08537842,0.700853784
0xe00a2847da68f64cc53d8591090d5bc2b7aca805,68.96310331,0.689631033
0x70ebd3b1311a57dd7b213aa928492ee06f8a321f,66.73912192,0.667391219
0x61163bf689b930dcc5bbe4115bc8014aca4ef577,65.85877034,0.658587703
0x5320415ff366095cdc1c28d11d0e18fafe81edcf,65.835,0.65835
